Img url|Title|Meta|tugma nomi|tugma linki
https://images.unsplash.com/photo-1559757175-08f2f8a7f6f8?q=80&w=1200|📝 Testlar|Oson / O‘rta / Qiyin — 10 ta savol|Boshlash|./tests.html
https://images.unsplash.com/photo-1529156069898-49953e39b3ac?q=80&w=1200|🎮 Live|"Pre-join, start lock, jonli reyting"|Kirish|./live.html
https://images.unsplash.com/photo-1509785307050-d4066910ec1e?q=80&w=1200|🏅 Reyting|Top 100 olmos|Ko‘rish|./leaderboard.html
https://images.unsplash.com/photo-1526378722443-4d0d2f54f7ac?q=80&w=1200|⚙️ Sozlamalar|"Profil, natijalar, balans, promo va admin"|Ochish|./settings.html
